Type,Datetime,Latitude,Longitude,C_gauge,Off_Day
Automatic Fire Alarm Resd,2011-02-16,47.526339,-122.369906,RG05,0
Auto Fire Alarm,2011-02-16,47.635636,-122.278231,RG03,0
Auto Fire Alarm,2011-02-16,47.6197,-122.33717,RG11,0
Auto Fire Alarm,2011-02-16,47.584234,-122.299024,RG20_25,0
Car Fire,2011-02-16,47.670773,-122.320097,RG03,0
Auto Fire Alarm,2011-02-16,47.635842,-122.347301,RG11,0
Auto Fire Alarm,2011-02-15,47.608053999999996,-122.32821000000001,RG20_25,0
Auto Fire Alarm,2011-02-15,47.621503999999995,-122.347597,RG11,0
Auto Fire Alarm,2011-02-15,47.608665,-122.329131,RG20_25,0
Auto Fire Alarm,2011-02-15,47.565776,-122.342171,RG15,0
Auto Fire Alarm,2011-02-15,47.653768,-122.344071,RG09,0
Auto Fire Alarm,2011-02-15,47.573403000000006,-122.33969599999999,RG15,0
Auto Fire Alarm,2011-02-15,47.619759,-122.35283000000001,RG11,0
Auto Fire Alarm,2011-02-15,47.608928000000006,-122.341647,RG11,0
Fire in Building,2011-02-15,47.717748,-122.31262199999999,RG01,0
Auto Fire Alarm,2011-02-15,47.656264,-122.307804,RG03,0
Automatic Fire Alarm Resd,2011-02-15,47.657816,-122.394898,RG08,0
Auto Fire Alarm,2011-02-15,47.628509,-122.37309199999999,RG11,0
Auto Fire Alarm,2011-02-15,47.605657,-122.338654,RG11,0
Rubbish Fire,2011-02-15,47.66945,-122.38221499999999,RG08,0
Auto Fire Alarm,2011-02-15,47.615514000000005,-122.310151,RG20_25,0
Auto Fire Alarm,2011-02-15,47.607174,-122.33543700000001,RG20_25,0
Auto Fire Alarm,2011-02-15,47.650742,-122.30800900000001,RG03,0
Auto Fire Alarm,2011-02-15,47.614788,-122.342952,RG11,0
Automatic Fire Alarm Resd,2011-02-15,47.69312,-122.29847600000001,RG04,0
Auto Fire Alarm,2011-02-15,47.602114,-122.330809,RG20_25,0
Auto Fire Alarm,2011-02-15,47.610986,-122.32356000000001,RG20_25,0
Fire Response Freeway,2011-02-15,47.594415000000005,-122.32096200000001,RG20_25,0
Automatic Fire Alarm Resd,2011-02-15,47.665031,-122.332926,RG03,0
Auto Fire Alarm,2011-02-15,47.629059000000005,-122.321266,RG03,0
Brush Fire,2011-02-15,47.636794,-122.302259,RG03,0
Auto Fire Alarm,2011-02-15,47.629670000000004,-122.35662099999999,RG11,0
Auto Fire Alarm,2011-02-15,47.619759,-122.35283000000001,RG11,0
Automatic Fire Alarm Resd,2011-02-15,47.717791,-122.337658,RG01,0
Auto Fire Alarm,2011-02-14,47.606088,-122.33290900000001,RG20_25,0
Rubbish Fire,2011-02-14,47.652037,-122.31056699999999,RG03,0
Auto Fire Alarm,2011-02-14,47.606835,-122.338197,RG11,0
Auto Fire Alarm,2011-02-14,47.612046,-122.34823200000001,RG11,0
Fire in Building,2011-02-14,47.603588,-122.322949,RG20_25,0
Auto Fire Alarm,2011-02-14,47.619121,-122.32086000000001,RG20_25,0
Auto Fire Alarm,2011-02-14,47.610359,-122.339619,RG11,0
Auto Fire Alarm,2011-02-14,47.590174,-122.29240800000001,RG20_25,0
Auto Fire Alarm,2011-02-14,47.603588,-122.322949,RG20_25,0
Auto Fire Alarm,2011-02-14,47.601718,-122.331581,RG20_25,0
Auto Fire Alarm,2011-02-14,47.608878000000004,-122.336996,RG11,0
Auto Fire Alarm,2011-02-14,47.612578000000006,-122.341197,RG11,0
Rubbish Fire,2011-02-14,47.612398,-122.340892,RG11,0
Auto Fire Alarm,2011-02-14,47.605302,-122.31810800000001,RG20_25,0
Car Fire,2011-02-14,47.550387,-122.31352,RG16,0
Garage Fire,2011-02-14,47.64462,-122.387699,RG12,0
Fire Response Freeway,2011-02-13,47.571179,-122.344195,RG15,1
Auto Fire Alarm,2011-02-13,47.611694,-122.324223,RG20_25,1
