Date,RG01,RG02,RG03,RG04,RG05,RG07,RG08,RG09,RG10_30,RG11,RG12,RG14,RG15,RG16,RG17,RG18,RG20_25
2010-10-31T00:00:00,3.57,3.7,3.92,3.76,4.71,3.52,3.88,4.29,5.71,3.95,4.22,4.72,4.74,4.94,4.73,4.86,4.35
2010-11-30T00:00:00,4.64,4.45,4.46,4.97,4.63,4.69,4.65,5,5.17,4.46,4.79,5.15,4.55,5.21,4.88,5.06,4.45
2010-12-31T00:00:00,8.36,7.55,8.39,8.02,8.78,8.93,8.75,9.46,9.71,8.36,8.87,9.71,8.89,10.25,9.18,9.27,8.16
2011-01-31T00:00:00,4.72,5.08,5,4.9,4.5,4.3,4.84,5.46,6.13,4.77,4.81,5.38,4.73,5.38,4.65,5.82,4.97
2011-02-28T00:00:00,3.83,3.11,3.44,3.33,2.95,3.88,3.59,3.89,3.59,3.18,3.4,3.41,2.94,3.45,2.99,3.58,3.32
2011-03-31T00:00:00,7.66,5.78,6.19,6.63,6.26,8.08,7.3,7.58,7.31,5.97,7.23,6.9,5.84,6.78,6.33,6.72,6.06
2011-04-30T00:00:00,3.74,3.1,3.22,3.24,3.41,3.32,3.14,3.42,4.63,3.06,2.95,3.95,3.79,4.27,4,4.09,3.77
2011-05-31T00:00:00,3.02,2.78,2.87,3.01,3.16,3.2,3.08,3.3,3.14,3.31,3.14,3.35,3.23,3.1,3.06,2.93,2.95
2011-06-30T00:00:00,1.4,1.48,1.5,1.24,0.79,1.23,1.19,1.33,1.55,1.28,1.15,1.63,1.28,1.32,1.31,1.38,1.65
2011-07-31T00:00:00,0.75,0.55,0.54,0.65,0.82,1.06,0.86,0.74,0.8,0.85,0.9,0.8,0.72,0.86,0.86,0.82,0.74
2011-08-31T00:00:00,0.07,0.09,0.06,0.09,0.06,0.05,0.06,0.11,0.09,0.02,0.05,0.03,0.04,0.07,0.07,0.08,0.06
2011-09-30T00:00:00,1,0.85,0.94,1.02,1.34,1.04,1.03,1.13,1.21,0.99,1.11,1.3,1.2,1.17,1.43,1.15,1.15
2011-10-31T00:00:00,3.13,2.94,3.05,3.27,2.54,3.23,2.93,3.61,3.29,2.6,2.78,2.66,2.23,2.49,2.94,3.24,2.96
2011-11-30T00:00:00,6.13,5.66,6.12,6.68,5.14,6.37,5.61,6.88,6.24,5.27,5.87,6.18,5.33,5.86,5.82,5.83,5.45
2011-12-31T00:00:00,1.67,1.52,1.54,1.69,2.07,1.68,1.55,1.83,2.1,1.62,1.75,2.05,1.72,1.92,2.19,1.98,1.69
2012-01-31T00:00:00,4.97,4.69,5.3,5.26,5.72,4.92,4.9,5.6,6.66,4.59,4.89,5.79,4.9,5.89,6.05,5.95,5.21
2012-02-29T00:00:00,3.62,2.78,2.85,3,2.87,2.97,2.65,3.23,3.69,2.4,2.62,2.67,2.72,3.53,3.51,3.34,2.55
2012-03-31T00:00:00,6.65,5.28,6.5,5.93,6.08,6.35,5.43,6.72,8.22,6.19,6.09,6.75,6.37,7.75,7.36,7.49,6.36
2012-04-30T00:00:00,2.33,2.16,2.24,2.2,2.42,2.19,1.77,2.42,2.8,2.09,2.02,2.37,2.35,2.32,2.67,2.52,2.39
2012-05-31T00:00:00,1.87,2.68,2.34,2.1,2.11,1.84,1.79,2.17,2.65,2.51,2.13,2.86,2.34,2.56,2.37,2.55,2.33
2012-06-30T00:00:00,3.5,3.22,3.29,3.42,2.21,3.15,2.82,3.66,3.11,2.58,3.05,2.85,2.83,2.82,2.95,3.16,3.28
2012-07-31T00:00:00,1.73,1.56,1.27,1.76,1.08,2.65,1.76,1.71,1.37,1.22,1.97,1.1,1.04,1.05,1.98,1.34,1.42
2012-08-31T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30T00:00:00,0.38,0.25,0.2,0.27,0.03,0.38,0.28,0.26,0.08,0.06,0.16,0.07,0.05,0.03,0.05,0.06,0.11
2012-10-31T00:00:00,5.82,5.3,5.85,5.85,6.32,6.18,5.78,6.89,6.54,5.5,5.99,6.37,5.94,6.34,6.73,6.53,5.53
2012-11-30T00:00:00,8.79,7.76,8.58,7.96,7.71,9.18,8.67,9.32,8.14,8.02,8.89,8.88,7.74,7.98,7.95,8.19,7.93
2012-12-31T00:00:00,9.88,7.51,8.94,8.53,7.9,9.99,9.04,10.01,9.3,8.36,9.04,9.22,8.35,9.48,9.05,9.07,8.37
2013-01-31T00:00:00,4.8,4.74,4.21,4.54,2.83,4.33,3.77,4.5,3.93,3.32,3.64,4.03,3.32,3.6,3.33,3.92,4.03
2013-02-28T00:00:00,1.89,1.56,1.67,1.67,1.49,1.82,1.49,1.77,1.78,1.33,1.45,1.68,1.6,1.73,1.55,1.78,1.47
2013-03-31T00:00:00,2.82,2.7,2.77,2.79,2.46,2.8,2.53,2.76,2.75,2.52,2.6,3,2.79,2.96,2.89,2.69,2.53
2013-04-30T00:00:00,5.28,4.3,4.85,4.86,3.72,4.98,4.68,5.08,5.14,4.18,4.95,4.2,3.96,4.33,4.31,4.67,4.38
2013-05-31T00:00:00,1.41,1.15,1.3,1.54,1.68,1.57,1.93,1.85,1.95,1.47,1.93,1.84,1.5,1.57,1.72,1.79,1.54
